"","seqid","source","type","start","end","score","strand","phase","attributes","ID"
"5","chr01","SGD","gene",974,1307,NA,"+",NA,"ID=YAL069W;Name=YAL069W;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000002143;orf_classification=Dubious","YAL069W"
"10","chr01","SGD","gene",1196,2974,NA,"+",NA,"ID=YAL068W-A;Name=YAL068W-A;Ontology_term=GO:0003674,GO:0005575,GO:0008150;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%3B%20identified%20by%20gene-trapping%2C%20microarray-based%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028594;orf_classification=Dubious","YAL068W-A"
"13","chr01","SGD","gene",3989,4351,NA,"-",NA,"ID=YAL068C;Name=YAL068C;gene=PAU8;Alias=PAU8;Ontology_term=GO:0003674,GO:0005575,GO:0045944,GO:0030437,GO:0006950,GO:0016020,GO:0016021;Note=Hypothetical%20protein;dbxref=SGD:S000002142;orf_classification=Uncharacterized","YAL068C"
"15","chr01","SGD","gene",4662,4889,NA,"+",NA,"ID=YAL067W-A;Name=YAL067W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Putative%20protein%20of%20unknown%20function%3B%20identified%20by%20gene-trapping%2C%20microarray-based%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028593;orf_classification=Uncharacterized","YAL067W-A"
"17","chr01","SGD","gene",9418,11199,NA,"-",NA,"ID=YAL067C;Name=YAL067C;gene=SEO1;Alias=SEO1;Ontology_term=GO:0006810,GO:0016020,GO:0005215,GO:0016021;Note=Putative%20permease%2C%20member%20of%20the%20allantoate%20transporter%20subfamily%20of%20the%20major%20facilitator%20superfamily%3B%20mutation%20confers%20resistance%20to%20ethionine%20sulfoxide;dbxref=SGD:S000000062;orf_classification=Verified","YAL067C"
"20","chr01","SGD","gene",12274,12582,NA,"+",NA,"ID=YAL066W;Name=YAL066W;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000000061;orf_classification=Dubious","YAL066W"
"22","chr01","SGD","gene",13748,14134,NA,"-",NA,"ID=YAL065C;Name=YAL065C;Ontology_term=GO:0008150,GO:0003674,GO:0005575,GO:0016020,GO:0016021;Note=Putative%20protein%20of%20unknown%20function%3B%20has%20homology%20to%20FLO1%3B%20possible%20pseudogene;dbxref=SGD:S000001817;orf_classification=Uncharacterized","YAL065C"
"24","chr01","SGD","gene",14229,14651,NA,"+",NA,"ID=YAL064W-B;Name=YAL064W-B;Ontology_term=GO:0003674,GO:0008150,GO:0005575,GO:0016020,GO:0016021;Note=Fungal-specific%20protein%20of%20unknown%20function;dbxref=SGD:S000002141;orf_classification=Uncharacterized","YAL064W-B"
"26","chr01","SGD","gene",18563,18943,NA,"-",NA,"ID=YAL064C-A;Name=YAL064C-A;Alias=YAL065C-A;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Putative%20protein%20of%20unknown%20function%3B%20YAL064C-A%20is%20not%20an%20essential%20gene;dbxref=SGD:S000002140;orf_classification=Uncharacterized","YAL064C-A"
"28","chr01","SGD","gene",27355,27681,NA,"+",NA,"ID=YAL064W;Name=YAL064W;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Protein%20of%20unknown%20function%3B%20may%20interact%20with%20ribosomes%2C%20based%20on%20co-purification%20experiments;dbxref=SGD:S000000060;orf_classification=Verified","YAL064W"
