"","seqid","source","type","start","end","score","strand","phase","attributes","ID"
"1","chr01","SGD","gene",6947,8319,NA,"+",NA,"ID=YAL062W;Name=YAL062W;gene=GDH3;Alias=GDH3,FUN51;Ontology_term=GO:0004352,GO:0006537,GO:0005625,GO:0005634,GO:0005739,GO:0004354,GO:0006520,GO:0016491;Note=NADP(%2B)-dependent%20glutamate%20dehydrogenase%2C%20synthesizes%20glutamate%20from%20ammonia%20and%20alpha-ketoglutarate%3B%20rate%20of%20alpha-ketoglutarate%20utilization%20differs%20from%20Gdh1p%3B%20expression%20regulated%20by%20nitrogen%20and%20carbon%20sources;dbxref=SGD:S000000058;orf_classification=Verified","YAL062W"
"3","chr01","SGD","gene",8835,10088,NA,"+",NA,"ID=YAL061W;Name=YAL061W;gene=BDH2;Alias=BDH2;Ontology_term=GO:0008150,GO:0005634,GO:0005737,GO:0016616,GO:0008270,GO:0016491,GO:0046872;Note=Putative%20medium-chain%20alcohol%20dehydrogenase%20with%20similarity%20to%20BDH1%3B%20transcription%20induced%20by%20constitutively%20active%20PDR1%20and%20PDR3%3B%20BDH2%20is%20an%20essential%20gene;dbxref=SGD:S000000057;orf_classification=Uncharacterized","YAL061W"
"5","chr01","SGD","gene",10534,11682,NA,"+",NA,"ID=YAL060W;Name=YAL060W;gene=BDH1;Alias=BDH1;Ontology_term=GO:0005737,GO:0019650,GO:0000721,GO:0008270,GO:0016491,GO:0046872;Note=NAD-dependent%20(2R%2C3R)-2%2C3-butanediol%20dehydrogenase%2C%20a%20zinc-containing%20medium-chain%20alcohol%20dehydrogenase%2C%20produces%202%2C3-butanediol%20from%20acetoin%20during%20fermentation%20and%20allows%20using%202%2C3-butanediol%20as%20a%20carbon%20source%20during%20aerobic%20growth;dbxref=SGD:S000000056;orf_classification=Verified","YAL060W"
"7","chr01","SGD","gene",11866,12289,NA,"-",NA,"ID=YAL059C-A;Name=YAL059C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20partially%20overlaps%20verified%20gene%20ECM1%2FYAL059W;dbxref=SGD:S000028734;orf_classification=Dubious","YAL059C-A"
"9","chr01","SGD","gene",11879,12518,NA,"+",NA,"ID=YAL059W;Name=YAL059W;gene=ECM1;Alias=ECM1;Ontology_term=GO:0007047,GO:0003674,GO:0005634,GO:0000055,GO:0005654,GO:0005730;Note=Protein%20of%20unknown%20function%2C%20localized%20in%20the%20nucleoplasm%20and%20the%20nucleolus%2C%20genetically%20interacts%20with%20MTR2%20in%2060S%20ribosomal%20protein%20subunit%20export;dbxref=SGD:S000000055;orf_classification=Verified","YAL059W"
"11","chr01","SGD","gene",12846,14351,NA,"+",NA,"ID=YAL058W;Name=YAL058W;gene=CNE1;Alias=CNE1,FUN48;Ontology_term=GO:0030433,GO:0006457,GO:0051082,GO:0030176,GO:0005509,GO:0005529,GO:0005783,GO:0016020,GO:0016021;Note=Calnexin%3B%20integral%20membrane%20ER%20chaperone%20involved%20in%20folding%20and%20quality%20control%20of%20glycoproteins%3B%20chaperone%20activity%20is%20inhibited%20by%20Mpd1p%2C%20with%20which%20Cne1p%20interacts%3B%2024%25%20identical%20to%20mammalian%20calnexin%3B%20Ca%2B%20binding%20not%20yet%20shown%20in%20yeast;dbxref=SGD:S000000054;orf_classification=Verified","YAL058W"
"13","chr01","SGD","gene",14075,14424,NA,"-",NA,"ID=YAL056C-A;Name=YAL056C-A;Alias=YAL058C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000002139;orf_classification=Dubious","YAL056C-A"
"15","chr01","SGD","gene",14639,17299,NA,"+",NA,"ID=YAL056W;Name=YAL056W;gene=GPB2;Alias=GPB2,KRH1;Ontology_term=GO:0004871,GO:0007165,GO:0005737,GO:0005886,GO:0000723,GO:0004860,GO:0042326,GO:0045944,GO:0030437,GO:0005739,GO:0032794,GO:0046580,GO:0030447,GO:0001403;Note=Proposed%20beta%20subunit%20of%20the%20heterotrimeric%20G%20protein%3B%20interacts%20with%20the%20receptor%20Grp1p%2C%20affects%20signaling%20by%20altering%20the%20level%20of%20phosphorylation%20of%20PKS%20substrates%3B%20regulates%20pseudohyphal%20growth%20through%20cAMP%20levels%3B%20homolog%20of%20Gpb1p;dbxref=SGD:S000000052;orf_classification=Verified","YAL056W"
"18","chr01","SGD","gene",17578,18120,NA,"+",NA,"ID=YAL055W;Name=YAL055W;gene=PEX22;Alias=PEX22,YAF5;Ontology_term=GO:0016562,GO:0043495,GO:0005779,GO:0006625,GO:0005777,GO:0016020,GO:0016021;Note=Putative%20peroxisomal%20membrane%20protein%20required%20for%20import%20of%20peroxisomal%20proteins%2C%20functionally%20complements%20a%20Pichia%20pastoris%20pex22%20mutation;dbxref=SGD:S000000051;orf_classification=Verified","YAL055W"
"20","chr01","SGD","gene",18278,20419,NA,"-",NA,"ID=YAL054C;Name=YAL054C;gene=ACS1;Alias=ACS1,FUN44;Ontology_term=GO:0003987,GO:0019654,GO:0006085,GO:0005829,GO:0005739,GO:0016573,GO:0003824,GO:0005783,GO:0005792,GO:0008152,GO:0016208,GO:0016874;Note=Acetyl-coA%20synthetase%20isoform%20which%2C%20along%20with%20Acs2p%2C%20is%20the%20nuclear%20source%20of%20acetyl-coA%20for%20histone%20acetlyation%3B%20expressed%20during%20growth%20on%20nonfermentable%20carbon%20sources%20and%20under%20aerobic%20conditions;dbxref=SGD:S000000050;orf_classification=Verified","YAL054C"
